X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.193705278,4.63961149199997,1639274,12754011,A001299392,2021/06/17 05:00:00+00,02:55:00,2021,JUNIO,JUEVES,2021/06/17 07:55:00+00,CL 56 F  S- KR 99 C  02,ATROPELLO,BOSA,,PEATON,N,,MASCULINO,35,PEATON
-74.166,4.63200000000001,1639290,12833381,A001511917,2022/08/21 05:00:00+00,00:30:00,2022,AGOSTO,DOMINGO,2022/08/21 05:30:00+00,KR 86  - CL 42 B  S 02,ATROPELLO,KENNEDY,,PEATON,N,,MASCULINO,22,PEATON
-74.102871391,4.69356682099999,1639293,12903856,A001677201,2024/08/21 05:00:00+00,16:20:00,2024,AGOSTO,MIERCOLES,2024/08/21 21:20:00+00,KR 81 A - CL 72  02,ATROPELLO,ENGATIVA,,PEATON,N,,FEMENINO,76,PEATON
-74.139274961,4.618637036,1639302,12852631,A001518133,2023/01/14 05:00:00+00,04:20:00,2023,ENERO,SABADO,2023/01/14 09:20:00+00,KR 72 - CL 26 S 02,ATROPELLO,KENNEDY,,PEATON,N,,MASCULINO,33,PEATON
-74.102774758,4.70051624400003,1639347,12841614,A001515870,2022/10/10 05:00:00+00,20:39:00,2022,OCTUBRE,LUNES,2022/10/11 01:39:00+00,KR 86  - CL 76   02,ATROPELLO,ENGATIVA,,PEATON,S,2022/10/20 00:00:00+00,FEMENINO,75,PEATON
-74.110641756,4.59166897199998,1639365,12906846,A001678017,2024/09/14 05:00:00+00,18:00:00,2024,SEPTIEMBRE,SABADO,2024/09/14 23:00:00+00,AV AVENIDA PRIMERO DE MAYO - KR 29 A 02,ATROPELLO,ANTONIO NARINO,,PEATON,S,2024/09/17 05:00:00+00,MASCULINO,74,PEATON
-74.113194065,4.50693706800001,1639394,12729890,A001236948,2021/01/20 05:00:00+00,13:20:00,2021,ENERO,MIERCOLES,2021/01/20 18:20:00+00,CL 84 S- KR 11  02,ATROPELLO,USME,,PEATON,N,,,,PEATON
-74.089061453,4.72667593,1639396,12877614,A001613595,2023/10/25 05:00:00+00,09:30:00,2023,OCTUBRE,MIERCOLES,2023/10/25 14:30:00+00,KR 91 - CL 130 A 02,ATROPELLO,SUBA,,PEATON,N,,FEMENINO,81,PEATON
-74.105631725,4.54861248600002,1639416,12872199,A001576021,2023/08/31 05:00:00+00,11:25:00,2023,AGOSTO,JUEVES,2023/08/31 16:25:00+00,CL 48 Q S- KR 2 A 02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,S,2023/08/31 05:00:00+00,MASCULINO,74,PEATON
-74.126574077,4.566199799,1639421,12902305,A001675980,2024/07/29 05:00:00+00,13:42:00,2024,JULIO,LUNES,2024/07/29 18:42:00+00,CL 51 S- KR 13 F 02,ATROPELLO,TUNJUELITO,,PEATON,S,2024/08/21 05:00:00+00,MASCULINO,83,PEATON
-74.085,4.77499999999998,1639475,12808046,A001447317,2022/04/01 05:00:00+00,22:00:00,2022,ABRIL,VIERNES,2022/04/02 03:00:00+00,CL 171  - KR 113   02,ATROPELLO,SUBA,,PEATON,N,,MASCULINO,23,PEATON
-74.093724023,4.70949315299998,1639476,12850315,A001519566,2023/01/13 05:00:00+00,08:00:00,2023,ENERO,VIERNES,2023/01/13 13:00:00+00,AC 90 - KR 84 B 02,ATROPELLO,ENGATIVA,,PEATON,N,,MASCULINO,88,PEATON
-74.101994861,4.59340227299998,1639495,12735494,A001240446,2021/02/18 05:00:00+00,07:30:00,2021,FEBRERO,JUEVES,2021/02/18 12:30:00+00,CL 11 S- KR 25  84,ATROPELLO,ANTONIO NARINO,,PEATON,N,,,,PEATON
-74.099506198,4.68114386000002,1639501,12877860,A001604378,2023/11/01 05:00:00+00,11:20:00,2023,NOVIEMBRE,MIERCOLES,2023/11/01 16:20:00+00,KR 72 - CL 66 A 02,ATROPELLO,ENGATIVA,,PEATON,S,2023/11/01 05:00:00+00,MASCULINO,72,PEATON
-74.127,4.649,1639518,12799870,A001392917,2022/02/20 05:00:00+00,13:00:00,2022,FEBRERO,DOMINGO,2022/02/20 18:00:00+00,KR 72  - CL 13   02,ATROPELLO,FONTIBON,,PEATON,N,,MASCULINO,77,PEATON
-74.144,4.50700000000001,1639523,12806072,A001395094,2022/03/21 05:00:00+00,15:38:00,2022,MARZO,LUNES,2022/03/21 20:38:00+00,CL 93 A  S- KR 18 B  02,ATROPELLO,CIUDAD BOLIVAR,,PEATON,S,2022/03/22 00:00:00+00,MASCULINO,84,PEATON
-74.092642408,4.68520276999999,1639556,12883815,A001604519,2023/11/02 05:00:00+00,22:14:00,2023,NOVIEMBRE,JUEVES,2023/11/03 03:14:00+00,CL 72 - KR 70 D 02,ATROPELLO,ENGATIVA,,PEATON,N,,MASCULINO,31,PEATON
-74.169618167,4.63788600200002,1639574,12893992,A001609967,2024/04/28 05:00:00+00,02:30:00,2024,ABRIL,DOMINGO,2024/04/28 07:30:00+00,KR 89 - CL 40 B S 02,ATROPELLO,KENNEDY,,PEATON,N,,MASCULINO,21,PEATON
-74.085755147,4.56893444999997,1639579,12909412,A001679131,2024/10/21 05:00:00+00,10:28:00,2024,OCTUBRE,LUNES,2024/10/21 15:28:00+00,KR 3 E- CL 22 BIS S 02,ATROPELLO,SAN CRISTOBAL,,PEATON,N,,FEMENINO,90,PEATON
-74.048790593,4.73919726999998,1639582,12751029,A001303558,2021/05/27 05:00:00+00,10:30:00,2021,MAYO,JUEVES,2021/05/27 15:30:00+00,KR 45  - CL 156   02,ATROPELLO,SUBA,,PEATON,N,,MASCULINO,59,PEATON
-74.033,4.71800000000002,1639622,12835863,A001511818,2022/09/05 05:00:00+00,07:20:00,2022,SEPTIEMBRE,LUNES,2022/09/05 12:20:00+00,KR 9  - CL 140   02,ATROPELLO,USAQUEN,,PEATON,N,,FEMENINO,64,PEATON
-74.065685129,4.64475351800002,1639632,12853381,A001567136,2023/02/15 05:00:00+00,15:40:00,2023,FEBRERO,MIERCOLES,2023/02/15 20:40:00+00,KR 14 - CL 58  02,ATROPELLO,TEUSAQUILLO,,PEATON,N,,FEMENINO,72,PEATON
-74.187857189,4.61625898800003,1639641,12882715,A001606271,2023/12/20 05:00:00+00,21:30:00,2023,DICIEMBRE,MIERCOLES,2023/12/21 02:30:00+00,KR 82 H - CL 62 S 02,ATROPELLO,BOSA,,PEATON,S,2023/12/30 05:00:00+00,MASCULINO,67,PEATON
-74.14266002,4.636640129,1639662,12772718,A001343481,2021/09/29 05:00:00+00,21:30:00,2021,SEPTIEMBRE,MIERCOLES,2021/09/30 02:30:00+00,KR 78  - CL 7 B  02,ATROPELLO,KENNEDY,,PEATON,N,,MASCULINO,72,PEATON
-74.06962309,4.59425402099998,1639688,12768477,A001341155,2021/09/03 05:00:00+00,11:10:00,2021,SEPTIEMBRE,VIERNES,2021/09/03 16:10:00+00,KR 1  - CL 10 B  02,ATROPELLO,CANDELARIA,,PEATON,S,2021/09/04 00:00:00+00,MASCULINO,46,PEATON
-74.113294937,4.576909581,1639698,12859550,A001569463,2023/04/20 05:00:00+00,12:07:00,2023,ABRIL,JUEVES,2023/04/20 17:07:00+00,AV AVENIDA CARACAS - CL 32 S 02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,N,,MASCULINO,22,PEATON
-74.155359544,4.58084348099999,1639729,12913754,A001680178,2024/12/04 05:00:00+00,13:26:00,2024,DICIEMBRE,MIERCOLES,2024/12/04 18:26:00+00,CL 59 C S- KR 51  02,ATROPELLO,CIUDAD BOLIVAR,,PEATON,N,,MASCULINO,83,PEATON
-74.15501756,4.62687005800001,1639750,12795616,A001391162,2022/01/26 05:00:00+00,09:10:00,2022,ENERO,MIERCOLES,2022/01/26 14:10:00+00,CL 36  S- KR 79 A  02,ATROPELLO,KENNEDY,,PEATON,N,,FEMENINO,73,PEATON
